path,orignal_num,filter_num,removed_num,finished
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/5,63748,34769,15,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/symbols,3866089,2558464,346,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/w,1236380,777573,170,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/1,338687,201110,30,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/n,1088006,667127,100,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/0,131159,80897,16,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/2,165154,94134,20,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/j,6292932,3988138,581,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/c,1424538,901575,163,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/x,508326,359809,27,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/s,2872433,1737299,403,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/v,1201396,721286,98,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/7,61481,37524,12,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/3,11677,7279,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/y,784854,509453,75,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/z,273282,175814,18,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/d,1215179,763120,111,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/9,8414,5115,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/k,487334,305192,48,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/a,204787,132527,17,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/r,7733072,5035824,587,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/f,358167,221845,34,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/e,232836,147771,10,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/q,45335,28261,6,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/8,7594,4729,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/o,150226,93966,18,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/4,12774,7635,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/b,403337,251836,39,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/g,602369,381830,52,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/6,13249,7709,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/p,293591,185907,59,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/l,1557738,1003482,120,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/u,346795,221001,15,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/h,353741,221312,27,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/m,2159731,1414188,168,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/t,707735,436906,49,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/i,1049136,680724,78,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/5,7362,4311,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/symbols,425185,274167,41,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/w,928076,609700,111,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/1,51417,31010,2,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/0,9688,5546,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/a/2,18593,11397,2,True
